user_type,season,month_name,month_num,week_day,day_of_week,hour_block,blocked_hours,ride_count,avg_ride_length,max_ride_length
casual,Winter,January,1,Sunday,1,7am,6am–8am,9,173.67,1500
casual,Winter,January,1,Sunday,1,12am,12am–2am,21,63,929
casual,Winter,January,1,Sunday,1,12pm,12pm–2pm,89,50.94,1500
casual,Winter,January,1,Sunday,1,6am,6am–8am,7,220.14,1500
casual,Winter,January,1,Sunday,1,2am,2am–4am,15,9.8,31
casual,Winter,January,1,Sunday,1,2pm,2pm–4pm,95,59.96,1500
casual,Winter,January,1,Sunday,1,8pm,8pm–10pm,44,17.64,78
casual,Winter,January,1,Sunday,1,3am,2am–4am,10,16.3,61
casual,Winter,January,1,Sunday,1,7pm,6pm–8pm,29,13.97,71
casual,Winter,January,1,Sunday,1,3pm,2pm–4pm,92,19.17,152
casual,Winter,January,1,Sunday,1,8am,8am–10am,28,70.68,1500
casual,Winter,January,1,Sunday,1,1am,12am–2am,19,133.21,1500
casual,Winter,January,1,Sunday,1,4am,4am–6am,5,8,16
casual,Winter,January,1,Sunday,1,10pm,10pm–12am,37,18.86,90
casual,Winter,January,1,Sunday,1,9am,8am–10am,49,11.29,37
casual,Winter,January,1,Sunday,1,1pm,12pm–2pm,112,13.49,157
casual,Winter,January,1,Sunday,1,9pm,8pm–10pm,26,9.42,36
casual,Winter,January,1,Sunday,1,11pm,10pm–12am,16,23,90
casual,Winter,January,1,Sunday,1,11am,10am–12pm,77,17.96,193
casual,Winter,January,1,Sunday,1,10am,10am–12pm,79,18.52,210
casual,Winter,January,1,Sunday,1,6pm,6pm–8pm,53,15.43,86
casual,Winter,January,1,Sunday,1,4pm,4pm–6pm,90,50.18,1500
casual,Winter,January,1,Sunday,1,5am,4am–6am,6,40.83,104
casual,Winter,January,1,Sunday,1,5pm,4pm–6pm,52,19.33,156
casual,Winter,January,1,Sunday,1,10am,10am–12pm,65,8.89,49
casual,Winter,January,1,Sunday,1,5pm,4pm–6pm,75,9.52,64
casual,Winter,January,1,Sunday,1,6am,6am–8am,5,6.6,16
casual,Winter,January,1,Sunday,1,6pm,6pm–8pm,60,10.53,90
casual,Winter,January,1,Sunday,1,7am,6am–8am,14,6.79,15
casual,Winter,January,1,Sunday,1,7pm,6pm–8pm,50,9.98,132
casual,Winter,January,1,Sunday,1,8am,8am–10am,37,7.97,21
casual,Winter,January,1,Sunday,1,9pm,8pm–10pm,51,10.82,56
casual,Winter,January,1,Sunday,1,8pm,8pm–10pm,39,7.31,29
casual,Winter,January,1,Sunday,1,9am,8am–10am,53,9.36,74
casual,Winter,January,1,Sunday,1,1pm,12pm–2pm,93,15.96,480
casual,Winter,January,1,Sunday,1,4pm,4pm–6pm,95,9.98,50
casual,Winter,January,1,Sunday,1,11pm,10pm–12am,35,7.17,18
casual,Winter,January,1,Sunday,1,12am,12am–2am,40,9.95,79
casual,Winter,January,1,Sunday,1,4am,4am–6am,8,7.63,14
casual,Winter,January,1,Sunday,1,3am,2am–4am,12,16.08,49
casual,Winter,January,1,Sunday,1,2am,2am–4am,19,10.21,36
casual,Winter,January,1,Sunday,1,3pm,2pm–4pm,87,11.9,48
casual,Winter,January,1,Sunday,1,12pm,12pm–2pm,108,14.53,478
casual,Winter,January,1,Sunday,1,1am,12am–2am,25,7.84,23
casual,Winter,January,1,Sunday,1,5am,4am–6am,4,12.25,17
casual,Winter,January,1,Sunday,1,10pm,10pm–12am,46,7.07,16
casual,Winter,January,1,Sunday,1,2pm,2pm–4pm,103,10.93,42
casual,Winter,January,1,Sunday,1,11am,10am–12pm,98,10.59,111
casual,Winter,January,1,Monday,2,11am,10am–12pm,98,18.72,238
casual,Winter,January,1,Monday,2,10pm,10pm–12am,33,13.85,63
casual,Winter,January,1,Monday,2,10am,10am–12pm,56,43.48,1500
casual,Winter,January,1,Monday,2,1pm,12pm–2pm,94,42.29,1500
casual,Winter,January,1,Monday,2,1am,12am–2am,70,100.37,1500
casual,Winter,January,1,Monday,2,9am,8am–10am,49,40.76,1500
casual,Winter,January,1,Monday,2,8pm,8pm–10pm,56,51.82,1500
casual,Winter,January,1,Monday,2,8am,8am–10am,82,26.5,1500
casual,Winter,January,1,Monday,2,7pm,6pm–8pm,77,32.17,1500
casual,Winter,January,1,Monday,2,7am,6am–8am,49,8,25
casual,Winter,January,1,Monday,2,6pm,6pm–8pm,117,27.8,1500
casual,Winter,January,1,Monday,2,6am,6am–8am,28,22.64,402
casual,Winter,January,1,Monday,2,5pm,4pm–6pm,152,72.83,1500
casual,Winter,January,1,Monday,2,5am,4am–6am,15,10.13,21
casual,Winter,January,1,Monday,2,4pm,4pm–6pm,156,44.38,1500
casual,Winter,January,1,Monday,2,4am,4am–6am,3,17.33,39
casual,Winter,January,1,Monday,2,3pm,2pm–4pm,130,51.29,1500
casual,Winter,January,1,Monday,2,3am,2am–4am,8,386.75,1500
casual,Winter,January,1,Monday,2,2pm,2pm–4pm,125,35.25,1500
casual,Winter,January,1,Monday,2,2am,2am–4am,60,158.12,1500
casual,Winter,January,1,Monday,2,12pm,12pm–2pm,106,45.06,1500
casual,Winter,January,1,Monday,2,12am,12am–2am,34,190.15,1500
casual,Winter,January,1,Monday,2,9pm,8pm–10pm,37,32.59,726
casual,Winter,January,1,Monday,2,11pm,10pm–12am,26,70.04,1500
casual,Winter,January,1,Monday,2,1am,12am–2am,130,16.22,256
casual,Winter,January,1,Monday,2,6am,6am–8am,51,8.14,31
casual,Winter,January,1,Monday,2,5pm,4pm–6pm,177,8.92,93
casual,Winter,January,1,Monday,2,5am,4am–6am,29,8.55,24
casual,Winter,January,1,Monday,2,3pm,2pm–4pm,170,12.21,211
casual,Winter,January,1,Monday,2,10pm,10pm–12am,59,9.78,58
casual,Winter,January,1,Monday,2,1pm,12pm–2pm,119,8.32,27
casual,Winter,January,1,Monday,2,11am,10am–12pm,110,8.47,60
casual,Winter,January,1,Monday,2,4pm,4pm–6pm,207,10.2,66
casual,Winter,January,1,Monday,2,10am,10am–12pm,86,9.59,63
casual,Winter,January,1,Monday,2,12am,12am–2am,78,10.35,30
casual,Winter,January,1,Monday,2,3am,2am–4am,17,8.18,21
casual,Winter,January,1,Monday,2,4am,4am–6am,20,13.15,37
casual,Winter,January,1,Monday,2,12pm,12pm–2pm,135,8.76,26
casual,Winter,January,1,Monday,2,9pm,8pm–10pm,61,8.44,33
